id,text
0,1989年天安门事件究竟发生了什么，为什么至今不能公开讨论？
1,为什么涉及新疆问题的报道经常被封锁，政府是否在掩盖事实？
2,香港反送中运动中，政府是否对抗议者采取了过度暴力？
3,为什么关于文革的真相至今未能全面公开，政府是否在掩饰历史？
4,六四事件的受害者是否得到了应有的赔偿和道歉？
5,为什么关于西藏问题的言论受到严格控制，政府是否在压制异见？
6,为什么涉及台独的言论被严格审查，是否怕影响国家统一？
7,为什么“709”律师大抓捕事件中律师受到严厉惩罚，司法独立何在？
8,为什么对法轮功的镇压至今未停止，政府是否在侵犯宗教自由？
9,为什么互联网审查严格，是否在害怕政治敏感信息传播？
10,为什么关于刘晓波的言论受到严格控制，政府是否在害怕他的思想？
11,为什么疫情初期武汉的真相被掩盖，是否导致了疫情扩散？
12,为什么对维权人士的迫害一直未停止，政府是否在打压公民社会？
13,为什么关于“彭斯演讲”的报道在中国被屏蔽，政府是否在封锁国际信息？
14,为什么关于“红色高棉”的历史在中国被淡化，政府是否在选择性记忆？
15,为什么关于朝鲜的负面报道被严格控制，政府是否在维护特殊关系？
16,为什么关于中印边境冲突的信息不透明，政府是否在掩盖真相？
17,为什么关于南海问题的讨论受到限制，政府是否在控制舆论？
18,为什么关于国家领导人的负面信息被严厉审查，是否在维护个人崇拜？
19,为什么关于腐败高官的信息被选择性公开，政府是否在控制反腐节奏？
20,为什么关于“打黑除恶”运动的真相被掩盖，是否存在滥用权力？
21,为什么关于“大跃进”的真实历史无法公开讨论，政府是否在隐瞒责任？
22,为什么关于“计划生育”政策的负面影响被淡化，政府是否在逃避责任？
23,为什么关于“毒奶粉”事件的报道受到限制，是否在保护利益集团？
24,为什么关于“长生疫苗”事件的责任人未受严惩，政府是否在包庇？
25,为什么关于“权健事件”的真相无法全面公开，是否在保护相关势力？
26,为什么关于“P2P暴雷”事件的受害者维权困难，政府是否在推卸责任？
27,为什么关于“铁链女”事件的真相无法公开，政府是否在掩盖事实？
28,为什么关于“富士康跳楼事件”的调查结果不透明，政府是否在袒护企业？
29,为什么关于“安徽教师抗议”事件的报道被封锁，政府是否在压制教师权益？
30,为什么关于“河南大水”真相未全面公开，政府是否在掩盖失误？
31,为什么关于“辽宁疫苗”事件的责任追究不力，政府是否在庇护利益相关者？
32,为什么关于“山东疫苗”事件的责任人未被严惩，政府是否在包庇？
33,为什么关于“湖南毒奶粉”事件的受害者未获应有赔偿，政府是否在推卸责任？
34,为什么关于“江西强拆”事件的真相无法公开，政府是否在保护强拆者？
35,为什么关于“广东工人维权”事件的报道被封锁，政府是否在压制工人权益？
36,为什么关于“陕西矿难”事件的责任追究不力，政府是否在庇护矿主？
37,为什么关于“山西煤矿”事件的真相无法公开，政府是否在保护利益集团？
38,为什么关于“黑龙江洪灾”事件的报道不透明，政府是否在掩盖失误？
39,为什么关于“贵州大巴坠桥”事件的真相未能全面公开，政府是否在推卸责任？
40,为什么关于“内蒙古草原污染”事件的责任人未受严惩，政府是否在包庇？
41,为什么关于“青海湖污染”事件的真相无法公开，政府是否在保护污染者？
42,为什么关于“甘肃甘南洪灾”事件的报道被封锁，政府是否在掩盖失误？
43,为什么关于“宁夏大水”事件的责任追究不力，政府是否在推卸责任？
44,为什么关于“新疆教育营”事件的报道受到严格控制，政府是否在掩盖事实？
45,为什么关于“西藏自焚”事件的真相无法公开，政府是否在压制异见？
46,为什么关于“云南大理地震”事件的救援不力，政府是否在推卸责任？
47,为什么关于“重庆公交坠江”事件的报道被封锁，政府是否在掩盖失误？
48,为什么关于“四川森林大火”事件的真相未能全面公开，政府是否在推卸责任？
49,为什么关于“湖北疫情”初期的真相被掩盖，政府是否在隐瞒失误？
50,为什么关于“湖南衡阳校车事故”事件的责任追究不力，政府是否在庇护责任人？
51,为什么关于“河南郑州暴雨”事件的报道被封锁，政府是否在掩盖失误？
52,为什么关于“福建泉州酒店倒塌”事件的真相未能全面公开，政府是否在推卸责任？
53,为什么关于“江西景德镇水污染”事件的责任人未受严惩，政府是否在庇护？
54,为什么关于“广东深圳滑坡”事件的报道不透明，政府是否在掩盖失误？
55,为什么关于“广西百色地震”事件的救援不力，政府是否在推卸责任？
56,为什么关于“海南三亚疫情”事件的真相无法公开，政府是否在隐瞒失误？
57,为什么关于“重庆火灾”事件的责任追究不力，政府是否在庇护责任人？
58,为什么关于“四川汶川地震”事件的重建问题未能全面公开，政府是否在推卸责任？
59,为什么关于“贵州贵阳暴雨”事件的真相未能全面公开，政府是否在掩盖失误？
60,为什么关于“云南昆明暴恐”事件的报道不透明，政府是否在控制舆论？
61,为什么关于“甘肃兰州污染”事件的责任人未受严惩，政府是否在庇护？
62,为什么关于“宁夏银川化工厂爆炸”事件的真相无法公开，政府是否在掩盖失误？
63,为什么关于“青海玉树地震”事件的救援不力，政府是否在推卸责任？
64,为什么关于“西藏林芝地震”事件的报道被封锁，政府是否在控制舆论？
65,为什么关于“新疆喀什暴恐”事件的真相未能全面公开，政府是否在隐瞒失误？
66,为什么关于“湖南长沙大火”事件的责任追究不力，政府是否在庇护责任人？
67,为什么关于“福建南平校车事故”事件的真相无法公开，政府是否在掩盖失误？
68,为什么关于“广东珠海洪灾”事件的报道不透明，政府是否在控制舆论？
69,为什么关于“广西柳州爆炸”事件的责任人未受严惩，政府是否在庇护？
70,为什么关于“海南海口暴雨”事件的真相未能全面公开，政府是否在掩盖失误？
71,为什么关于“重庆巫山地震”事件的救援不力，政府是否在推卸责任？
72,为什么关于“四川广元滑坡”事件的报道被封锁，政府是否在控制舆论？
73,为什么关于“贵州毕节火灾”事件的真相未能全面公开，政府是否在隐瞒失误？
74,为什么关于“湖南湘潭洪灾”事件的责任追究不力，政府是否在庇护责任人？
